"S(2,0)AngScMom","S(2,0)Contrast","S(2,0)Correlat","S(2,0)SumOfSqs","S(2,0)InvDfMom","S(2,0)SumAverg","S(2,0)SumVarnc","S(2,0)SumEntrp","S(2,0)Entropy","S(2,0)DifVarnc","S(2,0)DifEntrp","S(0,2)AngScMom","S(0,2)Contrast","S(0,2)Correlat","S(0,2)SumOfSqs","S(0,2)InvDfMom","S(0,2)SumAverg","S(0,2)SumVarnc","S(0,2)SumEntrp","S(0,2)Entropy","S(0,2)DifVarnc","S(0,2)DifEntrp","S(2,2)AngScMom","S(2,2)Contrast","S(2,2)Correlat","S(2,2)SumOfSqs","S(2,2)InvDfMom","S(2,2)SumAverg","S(2,2)SumVarnc","S(2,2)SumEntrp","S(2,2)Entropy","S(2,2)DifVarnc","S(2,2)DifEntrp","S(2,-2)AngScMom","S(2,-2)Contrast","S(2,-2)Correlat","S(2,-2)SumOfSqs","S(2,-2)InvDfMom","S(2,-2)SumAverg","S(2,-2)SumVarnc","S(2,-2)SumEntrp","S(2,-2)Entropy","S(2,-2)DifVarnc","S(2,-2)DifEntrp","Label"
"0.0096512548","19.859389","0.89483057","94.41617","0.37784351","47.548843","357.80529","1.708009","2.472692","11.03342","0.96401811","0.013140847","9.1363247","0.95006833","91.488274","0.49816494","46.956842","356.81677","1.6911102","2.2956646","5.8512849","0.77244853","0.0077756831","27.138998","0.8578601","95.465797","0.32818221","48.053648","354.72419","1.7171339","2.5479348","14.393656","1.0331245","0.0074981639","28.184869","0.85343359","96.15051","0.32040091","48.125332","356.41717","1.7195434","2.5526277","15.001939","1.0346118","0"
"0.0056112045","12.877404","0.90251651","66.049152","0.43501897","50.475287","251.3192","1.7252491","2.449101","7.8289762","0.84329783","0.0083484387","7.451889","0.94385836","66.366866","0.52250331","49.638709","258.01557","1.7212268","2.3091242","4.9244149","0.71737858","0.0047089874","17.699708","0.86693949","66.509998","0.38943976","50.729697","248.34029","1.7285772","2.5294201","10.358168","0.92182932","0.004548657","18.194778","0.86376252","66.77596","0.36157671","50.696243","248.90906","1.7273122","2.5394676","10.40751","0.92496844","0"
"0.67723652","1.6450688","0.86276145","5.9934648","0.89081568","3.7397773","22.32879","0.44416685","0.56752956","1.4976897","0.29463129","0.68229688","0.85879573","0.93044742","6.1737158","0.90023728","3.7830392","23.836067","0.44042964","0.5475274","0.77323962","0.26635322","0.67505282","1.9932798","0.82824422","5.8026572","0.87844146","3.6929739","21.217349","0.44455143","0.57611565","1.7882148","0.31747021","0.67404524","2.2252076","0.80904144","5.8264148","0.87804474","3.6921707","21.080452","0.44579238","0.57931526","2.0037714","0.32070185","1"
"0.62913803","1.1399717","0.86404121","4.1923428","0.88012515","3.6714267","15.6294","0.47662932","0.60308324","1.0064079","0.30675601","0.63329634","0.95855097","0.88431786","4.143038","0.88442777","3.6584111","15.613601","0.47204632","0.59259323","0.84544163","0.29644973","0.62311418","1.5921628","0.80321018","4.0453383","0.86277065","3.6130533","14.58919","0.48109234","0.61739968","1.3857872","0.33929532","0.62374636","1.7762785","0.77569699","3.9595512","0.85959058","3.5812468","14.061926","0.47920442","0.61772808","1.5445902","0.34595508","1"
"0.76021828","0.59177833","0.78337089","1.3658791","0.9343369","2.6788228","4.8717379","0.3056808","0.37416275","0.55457015","0.19772957","0.76092003","0.36935549","0.87220627","1.4451236","0.93681129","2.7122019","5.411139","0.30736993","0.37157161","0.34274434","0.18758796","0.75278502","0.8278847","0.68449396","1.311995","0.91866032","2.6526496","4.4200953","0.31015817","0.38869033","0.76372978","0.23061246","0.75275627","0.80838962","0.69752871","1.336308","0.91870443","2.661944","4.5368425","0.31104048","0.3901414","0.74502032","0.23028183","1"
"0.33731307","1.628823","0.89588567","7.8222807","0.80243213","5.4743487","29.6603","0.83906428","1.0655219","1.3180824","0.43212445","0.34625279","0.80465755","0.94969663","7.9980474","0.83433949","5.5227309","31.187532","0.83378901","1.0104303","0.6428473","0.36397649","0.32739323","2.0275341","0.86942389","7.7638019","0.77010453","5.457694","29.027673","0.84689238","1.102436","1.5786911","0.48001131","0.32767252","2.2813317","0.85225937","7.7207324","0.76590779","5.4409215","28.601598","0.84559635","1.1085471","1.7845079","0.49083932","1"
"0.39566018","1.5886921","0.91078932","8.9041582","0.81805077","5.3337282","34.027941","0.78545215","0.99236043","1.3175885","0.41136568","0.39858729","0.90552268","0.95062856","9.1705102","0.83858858","5.3968446","35.776518","0.7862888","0.96116053","0.73859559","0.36484345","0.38478411","2.0641345","0.88327488","8.8418609","0.7873387","5.3275954","33.303309","0.79488636","1.0306495","1.6549868","0.46077959","0.38542624","2.2169371","0.8741399","8.8071484","0.78584723","5.3154125","33.011656","0.79351505","1.0318884","1.7888684","0.46509672","1"
"0.53086207","2.2686023","0.94779047","21.725942","0.85597208","6.3336639","84.635166","0.66901861","0.83864356","2.0000332","0.36717551","0.55263872","1.2948808","0.96897009","20.865042","0.88185303","6.1783255","82.165286","0.64132837","0.78109072","1.1636996","0.310546","0.53670722","3.2418589","0.91819051","19.813466","0.83476365","6.0112693","76.012005","0.65878548","0.84832079","2.8162963","0.40970528","0.53494423","3.3347614","0.91669027","20.014237","0.83344745","6.0437814","76.722187","0.66111062","0.85286289","2.8940386","0.41266647","1"
"0.5369907","11.424932","0.88304182","48.841955","0.8089007","8.4382667","183.94289","0.7171078","0.95184251","10.074098","0.48773808","0.5600126","4.0430646","0.95892073","49.210521","0.84124531","8.5181772","192.79902","0.68621187","0.88210801","3.6158531","0.39987219","0.53704303","13.882549","0.85206231","46.920256","0.79388135","8.242689","173.79847","0.71475433","0.9623456","12.079805","0.51693183","0.53441863","14.469405","0.84544869","46.811007","0.7926644","8.2363684","172.77462","0.71819877","0.96602103","12.58419","0.52147562","1"
"0.17750355","4.5356278","0.96823237","71.387577","0.73259794","18.793823","281.01468","1.17569","1.4703653","3.7178003","0.54519023","0.18083646","4.2173114","0.97060995","71.747271","0.74307079","18.956098","282.77177","1.1673521","1.4609092","3.4411063","0.53834042","0.17316289","7.9218153","0.94415448","70.926145","0.67377137","18.547838","275.78276","1.1857526","1.5492741","6.1833702","0.65541018","0.17314847","8.1378193","0.94285083","71.198048","0.67711584","18.589987","276.65437","1.1861364","1.5449448","6.4371884","0.64974316","1"
