Horzl_RLNonUni,Horzl_GLevNonU,Horzl_LngREmph,Horzl_ShrtREmp,Horzl_Fraction,Vertl_RLNonUni,Vertl_GLevNonU,Vertl_LngREmph,Vertl_ShrtREmp,Vertl_Fraction,45dgr_RLNonUni,45dgr_GLevNonU,45dgr_LngREmph,45dgr_ShrtREmp,45dgr_Fraction,135dr_RLNonUni,135dr_GLevNonU,135dr_LngREmph,135dr_ShrtREmp,135dr_Fraction,Label
2296.9422,184.8624,3.5518395,0.76935463,0.65983607,1950.0756,162.39803,4.4640269,0.73861482,0.60917547,2935.4798,202.81572,2.4849656,0.82173544,0.73904762,3212.2214,212.41294,2.3136401,0.84258242,0.76389549,0
2440.3543,547.36184,2832.9094,0.69033484,0.07454476,403.13676,256.94938,5266.3279,0.37293789,0.03611384,2735.0478,635.99823,1651.5731,0.68557774,0.085152629,2432.2173,606.52076,1336.5758,0.66395879,0.080938593,1
833.0489,79.603912,7.2885086,0.74074763,0.53429131,360.12949,59.922306,14.597327,0.56054411,0.38876259,1009.1917,93.549273,4.6138934,0.76520846,0.61449371,988.6568,91.02193,5.0153509,0.76392421,0.60079051,0
3780.5278,419.54732,2499.0996,0.77885682,0.091788243,1059.1993,253.72394,3330.6518,0.53543162,0.054314868,4340.0793,491.30243,1326.2721,0.78270303,0.10380642,3866.6144,481.34747,1093.2815,0.75251275,0.10091121,1
1174.309,185.74856,4.8500411,0.72236276,0.58327342,554.14968,103.47641,12.111823,0.58363863,0.41214594,1420.3827,200.997,3.7713106,0.758861,0.64060621,1369.3376,193.86904,3.7816048,0.74829072,0.63647314,0
1523.8424,539.36421,3604.8158,0.61156436,0.059891477,1164.7653,504.74132,3206.8553,0.54518146,0.056658569,2059.2941,716.93477,1579.5644,0.63003992,0.076352602,2022.0009,728.93971,1271.9224,0.62080166,0.077116524,1
1386.5365,117.209,2.2738268,0.8454042,0.76840149,960.21475,97.147455,4.2047981,0.77744716,0.63578869,1539.0093,123.15684,1.8983759,0.8696733,0.81045506,1619.108,125.03111,1.9451052,0.88304258,0.81628081,0
669.89817,149.6401,12585.243,0.66160697,0.021106172,778.15135,180.80269,8487.8021,0.66727732,0.023816199,909.20241,299.83014,4676.506,0.6492301,0.029969403,971.20936,290.15459,5024.4148,0.66662814,0.030240293,1
520.5441,24.87517,31.396201,0.86030834,0.47032546,643.2314,29.98229,15.628099,0.88676162,0.54052329,680.77001,32.443067,12.666291,0.89089121,0.56532823,703.20381,32.888018,13.047032,0.90024232,0.56987875,0
1485.1293,556.32615,2038.5029,0.53253273,0.080778876,1265.6594,531.03421,1767.0815,0.49671887,0.077529431,2280.742,751.7286,759.4164,0.58076583,0.10695542,1959.4552,696.44077,1068.1649,0.55253534,0.099618952,1
1873.2717,262.76442,5.8775328,0.66953735,0.53694405,1523.1591,227.2848,7.8536705,0.63128379,0.4858063,3105.2835,330.38148,3.2675656,0.77098848,0.67015458,1633.6945,269.37763,5.7212329,0.62588729,0.52486519,0
2728.3584,299.02059,1750.1169,0.72742523,0.090847925,2190.0105,284.73916,1866.1039,0.67206312,0.08584683,3522.2809,389.7083,1005.1423,0.74283333,0.11196639,3173.1814,376.34917,909.18446,0.7215093,0.10725495,1
3300.7623,330.56765,8.087351,0.68002083,0.50306428,3283.9146,340.84196,7.5037903,0.67515932,0.5076311,5195.8256,435.40612,4.0018488,0.7590768,0.63484611,4079.0175,402.24675,5.1364776,0.70882089,0.57260274,0
1895.5685,1667.4082,241.59747,0.36752298,0.17175999,2215.0095,1800.3423,155.1663,0.39173716,0.18360365,4281.0206,2429.5139,92.935608,0.49803581,0.24894352,3931.2984,2417.9691,82.193464,0.48250129,0.24109675,1
2628.1155,178.31389,3.1804727,0.7904707,0.68590909,2008.5944,152.07155,4.9663717,0.74083393,0.59978769,3396.7537,204.30588,2.1469842,0.84150112,0.77656511,3183.3428,188.52115,2.5108278,0.83027662,0.75,0
2021.2236,613.75327,2357.8424,0.60348866,0.081713823,1303.6997,503.4997,2577.7324,0.52259325,0.068082833,2606.6617,744.86751,1099.7931,0.63020012,0.097378534,2806.9639,762.22345,1164.8583,0.64709304,0.099520927,1
1018.9382,123.48,4.8075949,0.74638251,0.59649653,951.83802,124.85999,4.9693408,0.72527135,0.58610362,1355.0482,142.07719,3.202193,0.79889976,0.68819801,1366.7013,141.42751,3.1559352,0.80169375,0.6916086,0
2755.5594,330.02693,1250.9463,0.66959978,0.14489689,3561.8789,359.21449,505.72611,0.71901239,0.16198624,4292.0875,421.45757,351.36162,0.7381329,0.18469979,4780.1173,436.77831,326.95222,0.76200862,0.19244346,1
3608.0733,611.51699,10.16567,0.53208174,0.41643189,6855.3126,738.93535,6.3688154,0.67692951,0.52916312,9596.5695,900.83949,3.8782326,0.73688225,0.62621296,10002.919,912.78847,3.6524212,0.74421456,0.63927015,0
3365.8549,382.01899,1153.4804,0.6721412,0.15265801,3785.2898,399.19551,535.44464,0.68833796,0.16345772,5132.1247,485.61662,352.44186,0.73674402,0.19295655,5273.0086,490.25831,342.91535,0.7428561,0.19497129,1
2481.5377,351.75702,11.148404,0.50639853,0.39741259,8207.2565,570.99128,3.9582673,0.76473648,0.64033827,9213.5515,612.05266,3.1876202,0.78461763,0.68213742,8685.3447,597.64458,3.3270945,0.76979407,0.66888005,0
3828.0979,655.07199,1409.6183,0.74270972,0.11010382,2378.0995,554.33986,1667.3943,0.64173777,0.092057255,4566.1512,773.45559,720.20673,0.75267166,0.12728162,4432.2691,771.49384,763.44467,0.74522587,0.12616227,1
4076.3634,345.58254,2.6092663,0.82983038,0.73783689,2407.2166,270.72019,4.8634738,0.71922386,0.5860021,4819.7356,369.63525,1.9820543,0.86371235,0.80060741,4665.9281,371.29776,2.0297759,0.85547978,0.79270858,0


